current_time,real_current_time,gravity_vec_0,gravity_vec_1,gravity_vec_2,ang_vel_body_0,ang_vel_body_1,ang_vel_body_2,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,commands_0,commands_1,commands_2,
1.75672e+09,0,-0.0340411,-6.86176e-07,-0.99942,8.63047e-08,0.000407282,-2.06231e-07,0.0246446,-0.00300968,-0.0990138,-0.0246237,-0.00302625,-0.0990316,0.111247,0.00693059,-0.0693873,-0.111267,0.00703013,-0.0693146,4.46299e-05,0.000119085,9.67505e-05,-4.45931e-05,0.000119098,9.6668e-05,-7.57213e-05,1.57382e-05,0.000289549,7.56967e-05,1.55867e-05,0.000289543,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.75672e+09,0,-0.0340265,-6.89552e-07,-0.999421,8.73102e-08,0.000403101,-2.04718e-07,0.0246527,-0.00298792,-0.098997,-0.0246318,-0.00300449,-0.0990148,0.111234,0.00693393,-0.0693359,-0.111254,0.00703347,-0.0692631,4.50091e-05,0.000122432,9.07143e-05,-4.49729e-05,0.000122445,9.06319e-05,-7.48833e-05,2.06494e-05,0.000282014,7.48589e-05,2.04992e-05,0.000282007,-0.539782,-2.2104,-2.04826,0.673602,-0.427328,-0.965289,1.41189,0.352993,-3.2385,-1.30329,-0.674669,-2.46921,1,0,0,0
1.75672e+09,0,-0.0341167,0.00208142,-0.999416,-0.287157,-0.00358241,0.0021061,0.0200063,-0.025542,-0.140228,-0.0182336,-0.00406057,-0.117574,0.117673,0.0220518,-0.153016,-0.118724,0.000255108,-0.127975,-0.139032,-0.663512,-0.943401,0.155699,-0.0370255,-0.450314,0.206391,0.303106,-1.94345,-0.215371,-0.241953,-1.38229,-0.49995,-1.8398,-1.82986,0.575489,-0.432398,-0.820257,1.11234,0.260729,-2.87915,-1.11086,-0.80245,-2.28786,1,0,0,0
1.75672e+09,0,-0.0347398,0.0108804,-0.999337,-0.530975,-0.0739417,0.00992744,-0.00852509,-0.146328,-0.242518,0.012413,-0.0199885,-0.162472,0.162486,0.0390816,-0.358703,-0.159224,-0.053192,-0.283347,-0.304633,-1.28149,-0.845436,0.272375,-0.10669,-0.540467,0.519633,0.0808548,-1.69151,-0.420803,-0.562,-1.34013,-0.446644,-1.90638,-1.78165,0.590457,-0.411345,-0.922807,1.16483,0.311252,-2.89055,-1.13984,-0.658781,-2.34461,1,0,0,0
1.75672e+09,0,-0.0373322,0.0224653,-0.99905,-0.868542,-0.218113,-0.045167,-0.0350372,-0.246284,-0.296846,0.0345007,-0.029113,-0.199844,0.204992,0.0449499,-0.468266,-0.191517,-0.0962443,-0.372969,-0.342913,-1.16524,-0.541194,0.268126,-0.0997264,-0.471697,0.494943,0.10467,-1.17835,-0.365321,-0.517464,-0.987559,-0.527057,-1.82553,-1.62448,0.649594,-0.451281,-0.992055,1.10922,0.409028,-2.85188,-1.08353,-0.761984,-2.36956,1,0,0,0
1.75672e+09,0,-0.0433469,0.0451548,-0.998039,-1.38252,-0.357575,-0.117726,-0.0670835,-0.34359,-0.335477,0.0589253,-0.03613,-0.249072,0.245937,0.0600019,-0.563389,-0.219302,-0.141248,-0.454454,-0.279587,-0.876458,-0.228708,0.230038,-0.0550078,-0.535913,0.343691,0.193807,-0.872548,-0.203706,-0.409,-0.74725,-0.537821,-2.14109,-1.49034,0.65604,-0.496177,-1.11989,1.18944,0.482815,-3.102,-1.08336,-0.925912,-2.57927,1,0,0,0
1.75672e+09,1,-0.0519705,0.0773219,-0.995651,-1.77554,-0.488653,-0.159654,-0.0912628,-0.422572,-0.348887,0.0808408,-0.045994,-0.297265,0.274442,0.0818106,-0.644228,-0.23495,-0.178917,-0.524534,-0.232869,-0.774409,-0.113519,0.210481,-0.174562,-0.382334,0.251364,0.275442,-0.874081,-0.158341,-0.366644,-0.782183,-0.642111,-2.58193,-1.58336,0.696711,-0.620602,-1.31373,1.36293,0.699915,-3.55193,-1.25381,-1.12781,-3.05073,1,0,0,0
1.75672e+09,1,-0.0651353,0.121296,-0.990477,-2.20856,-0.64808,-0.182193,-0.11631,-0.507087,-0.36207,0.101181,-0.0683091,-0.349825,0.302864,0.115289,-0.739997,-0.254341,-0.220111,-0.61355,-0.247225,-0.791972,-0.139974,0.184062,-0.282564,-0.394873,0.254049,0.322832,-0.946742,-0.166958,-0.382482,-0.908451,-0.830328,-2.96783,-1.67501,0.771116,-0.75403,-1.51176,1.48139,0.804729,-4.02712,-1.25447,-1.31367,-3.53152,1,0,0,0
1.75672e+09,1,-0.0897062,0.152951,-0.984154,-0.103288,-2.25352,-0.746467,-0.13824,-0.554547,-0.387579,0.118299,-0.0977849,-0.392892,0.322072,0.154692,-0.841565,-0.287813,-0.256385,-0.71362,-0.159795,0.170606,-0.454281,0.194399,-0.301078,-0.308501,0.0694353,0.530001,-1.10347,-0.672617,-0.303503,-1.1199,-0.891467,-3.47858,-2.09382,0.865789,-0.906701,-1.84455,1.67079,1.12214,-4.56285,-1.52982,-1.41569,-3.96454,1,0,0,0
1.75672e+09,1,-0.161585,0.122255,-0.979257,2.11588,-3.64564,-1.10996,-0.164655,-0.499012,-0.441031,0.150323,-0.133767,-0.42408,0.332051,0.210175,-0.964844,-0.358427,-0.288978,-0.841239,-0.322036,0.604632,-0.512084,0.318227,-0.339627,-0.434305,0.147073,0.495859,-1.23893,-0.492822,-0.315274,-1.27159,-0.972472,-3.94531,-2.30722,0.794542,-0.938498,-2.28734,1.82197,1.43397,-5.1754,-1.57751,-1.5173,-4.56906,1,0,0,0
